wrote 330
165622 01-01 | Who will Chelsea appoint as its next permanent head coach by January 31, 2026?
459037 01-09 | Which country will face host Morocco in the AFCON 2025 semifinal in Rabat on 14 January 2026?
46876 01-09 | Which economy will the United States' goods trade deficit with double in 2025, according to the annual trade report released by February 2026?
797906 01-09 | What military body will President Rashad al-Alimi announce to integrate anti-Houthi forces into Yemen’s military by January 2026?
891998 01-09 | Who will Aryna Sabalenka face in the Brisbane International women’s singles final by January 11, 2026?
291796 01-10 | Which Indian state will India report as having the two confirmed Nipah virus cases recorded since December 2025, by January 2026?
69214 01-10 | Which Iranian province will state television say lost 30 police and security personnel during the protests, by 11th January 2026?
934187 01-10 | Who will rank first for prime minister in the National Institute of Development Administration survey released by January 30, 2026, ahead of Thailand's February 8, 2026 election?
118127 01-11 | Which country will President Cyril Ramaphosa reportedly order excluded from South Africa's BRICS naval drills by January 9, 2026?
138247 01-11 | What organization will Syrian intelligence sources say contributed fighters to new reinforcements near Maskana and Deir Hafer, by January 2026?
474377 01-11 | Who will take charge of Manchester United in the Manchester derby against Manchester City on January 17, 2026?
666021 01-11 | Which country will Somalia say it has severed all agreements with by January 2026?
756891 01-11 | Which armed group will Syrian authorities say sent fighters with new reinforcements near eastern Aleppo by January 2026?
783773 01-11 | Which foreign country will Somalia's Minister of State for Foreign Affairs say gave support to separatist regions, in remarks reported by Al Jazeera by January 20, 2026?
80352 01-11 | Which cabinet department’s funding bill will Senate Democrats insist must be rewritten before they help pass the spending package by January 31, 2026?
117844 01-12 | Who will be named as the Ukrainian opposition leader charged in a parliamentary bribery probe by January 15, 2026?
359260 01-12 | Which pro-Israel group will agree to wind down its operations in New York under a settlement announced by January 2026?
98159 01-12 | Which club will Atletico Madrid defeat away to reach the Copa del Rey semifinals by February 2026?
214384 01-13 | Which northeastern US state will be named as the target of a newly announced ICE immigration crackdown by January 22, 2026?
71 01-13 | Who will be named to lead the Palestinian technocratic committee set to administer Gaza by January 2026?
75613 01-13 | In which country will Representative Thomas Massie say Venezuelan oil proceeds are being banked overseas by February 28, 2026?
756639 01-13 | Which Southeast Asian U.S. treaty ally will be included in an indefinite U.S. pause on immigrant visa processing by the end of January 2026?
806810 01-13 | What will be the name of the Palestinian body set to take over Gaza's security and administration in the first phase of a proposed disarmament plan by April 2026?
279531 01-14 | What region will be described as the place where a “big armada” is forming by January 27, 2026?
39911 01-14 | What foreign basketball league will U.S. prosecutors say was targeted in the alleged game-rigging scheme by 15 January 2026?
521564 01-14 | By 31 January 2026, who will be identified as the migrant worker whose death in police custody sparks mass protests?
736847 01-14 | Which country will be named by the end of February 2026 as facing a possible halt in UN emergency food and nutrition aid by April because of funding shortages?
793465 01-14 | Who will defeat Venus Williams in the first round of the 2026 Australian Open women’s singles tournament in January 2026?
172391 01-15 | What festival will Syria declare a paid national holiday by January 18, 2026?
406433 01-15 | Which club will be reported to have agreed in principle to sign Marc Guehi by January 2026?
579233 01-15 | What language will Syria formally declare a "national language" by January 17, 2026?
599463 01-15 | Which governor will the US Department of Justice open an investigation into by January 31, 2026, for alleged conspiracy to impede immigration enforcement?
972999 01-15 | Which country will say it is set to provide Ukraine with combat planes shortly by January 17, 2026?
672298 01-16 | Who will United Democracy Project spend about $2.2m to oppose by 4th February 2026 in central New Jersey’s special House Democratic primary?
841822 01-16 | Which company will Indonesian officials identify as operating the missing fisheries surveillance plane by 17 January 2026?
942671 01-16 | What shopping centre will be named as the site of Karachi’s biggest fire in more than a decade by January 31, 2026?
974205 01-16 | Which city will be the target of the assault that the SDF will be bracing for by 18 January 2026?
2176 01-17 | Who will Carlos Alcaraz face in the second round of the 2026 Australian Open men's singles by January 18, 2026?
223607 01-17 | Which party will say it may reconsider taking part in Bangladesh's February 12, 2026 election because of the fight over who is allowed to run, by January 20, 2026?
486189 01-17 | Which country will Pakistan say it is supporting by boycotting its T20 World Cup match against India, as clarified by February 2026?
505500 01-17 | Who will qualify to face Andre Ventura in Portugal's presidential run-off by February 2026?
744407 01-17 | Near which town will authorities report that two high-speed trains collided in southern Spain by January 19, 2026?
77915 01-17 | What city will the oncoming train be reported to be traveling to in a deadly southern Spain rail collision by 31 January 2026?
799398 01-17 | Which Morocco player will take and miss the stoppage-time penalty in the 2025 Africa Cup of Nations final on 18 January 2026?
37248 01-18 | Who will become Bulgaria’s first female head of state by February 11, 2026?
551676 01-18 | Which force will take full control of the al-Shaddadi base by 15th February 2026?
904367 01-18 | Which city will the Syrian army say it has brought under complete control after clashes in northeast Syria by January 19, 2026?
377358 01-19 | Which national football association will say by January 27, 2026, that it has no immediate plans to withdraw from the 2026 World Cup, even after more than 100,000 fans sign a boycott petition?
980781 01-19 | Who will Jannik Sinner face in the second round of the 2026 Australian Open men's singles tournament by January 20, 2026?
207522 01-20 | On which island will archaeologists report finding the world's oldest known paintings by 22 January 2026?
464874 01-20 | Who will be Aryna Sabalenka’s next opponent (third round) at the Australian Open by 21 January 2026?
621718 01-20 | Who will Donald Trump say he reached a Greenland deal framework with by January 31, 2026?
922844 01-20 | Who will Zeynep Sonmez face in the third round of the 2026 Australian Open by January 21, 2026?
924864 01-20 | Which South Asian country will be the only one to have joined the Board of Peace by February 18, 2026?
110472 01-21 | Which team will take Bangladesh's place in the 2026 ICC Men's T20 World Cup by February 7, 2026?
273948 01-21 | Where will rescue workers search for survivors after a landslide at a tourist spot in northern New Zealand, in January 2026?
348570 01-21 | Which English club will rank highest in Deloitte's Football Money League for the 2024-25 season when the ranking is published in January 2026?
400561 01-21 | Who will reach the Australian Open women's fourth round in her first main-draw appearance and then face Aryna Sabalenka by 23 January 2026?
48762 01-21 | Which city will host three-way talks between officials from Ukraine, Russia, and the United States on January 23-24, 2026?
655453 01-21 | Which country will mediate the first face-to-face three-way talks among the US, Ukraine and Russia since the 2022 invasion, in January 2026?
679570 01-21 | Who will Naomi Osaka face in the Australian Open women's singles third round, according to the official draw by 22 January 2026?
876347 01-21 | What film will receive the most nominations when the 98th Academy Awards nominations are announced in January 2026?
886103 01-21 | Who will direct the film that enters the 2026 Academy Awards by March 15, 2026, with a record 16 nominations?
944348 01-21 | Who will be named CEO of TikTok's new US joint-venture entity by January 31, 2026?
663866 01-22 | Which country will publicly protest the release on bail of the Crans-Montana bar owner by February 2026?
789844 01-22 | Who will Carlos Alcaraz face in the Australian Open men's singles fourth round by January 23, 2026?
24182 01-23 | Who will be named as the first member of UFC's 2026 Hall of Fame class by January 25, 2026?
243746 01-23 | Which federal agency will President Donald Trump say is investigating whether southern California wildfire recovery funds were awarded improperly by the end of January 2026?
575662 01-23 | Where will the second round of US-brokered Russia-Ukraine peace talks begin on February 4, 2026?
789042 01-23 | Which U.S. agency's agents will protesters in Italy denounce plans to bring to the Milan Winter Olympics by 1 February 2026?
286957 01-24 | Who will eliminate defending women’s champion Madison Keys from the 2026 Australian Open by January 26, 2026?
287417 01-24 | Who will Aryna Sabalenka face in the Australian Open women’s singles quarterfinals by January 25, 2026?
694686 01-24 | Who will be the starting quarterback of the NFC team that reaches Super Bowl 2026 by January 26, 2026?
110125 01-25 | What city will authorities identify as the site of the explosive-device attack on an Indigenous rights protest by January 31, 2026?
238071 01-25 | In which Sudanese state will the town be located when Sudan's military says its siege has been broken, by January 31, 2026?
267761 01-25 | Which country will Donald Trump threaten with a US tariff increase from 15% to 25% by January 2026?
320820 01-25 | Which country will receive 24 children evacuated from Gaza in a World Health Organization-facilitated transfer on January 26, 2026, according to WHO reporting by February 2026?
9493 01-25 | Which Greek city will be named by January 31, 2026, as the location of the overnight factory explosion that kills at least four workers?
976773 01-26 | Which country will be named as requesting a special UN nuclear watchdog meeting on Ukraine by January 30, 2026?
465445 01-27 | Who will Tyson Fury announce as the opponent for his April 11, 2026 comeback fight by January 31, 2026?
910937 01-27 | Which foreign leader's planned Australia visit will lead to charges over alleged online threats by February 2026?
988168 01-27 | What social media platform will Emmy-winning Palestinian journalist Bisan Owda say by 31 January 2026 has permanently banned her account?
430936 01-28 | Which South Sudan state will the UN say has more than 235,000 people displaced by 10 February 2026?
789988 01-28 | Who will Benjamin Netanyahu say is set to visit Israel soon, by February 2026?
956334 01-28 | Which West African country will have all political parties dissolved by the end of January 2026?
176447 01-29 | Which Trump Commerce Secretary will released Epstein correspondence identify as arranging a visit to Epstein's island in December 2012, by January 2026?
1877 01-29 | Which U.S. skier will be airlifted to hospital after crashing in the women's World Cup downhill at Crans-Montana by January 30, 2026?
261538 01-29 | In which city will Newcastle United play the first leg of its 2025-26 UEFA Champions League playoff tie in February 2026?
35131 01-29 | Which club will eliminate Juventus in the 2025/26 UEFA Champions League playoff round and reach the last 16 by February 2026?
55999 01-29 | Which club will Benfica face in the first leg of its Champions League playoff on February 17, 2026?
85609 01-29 | Which club will Real Madrid be drawn to face in the UEFA Champions League playoff round by January 30, 2026?
316535 01-30 | Who will be named as Pat Cummins's replacement in Australia's ICC Men's T20 World Cup squad by January 31, 2026?
391811 01-31 | By 1 February 2026, which city will Ukrainian police identify as the site of a drone attack on a bus carrying miners in Ukraine’s Dnipropetrovsk region?
562701 01-31 | Which town will Pakistani police say they have secured after the three-day battle in Balochistan, by February 4, 2026?
946810 01-31 | Who will win Album of the Year at the 2026 Grammy Awards by 3 February 2026?
951896 01-31 | Who will win the 2026 Australian Open men's singles title by 1 February 2026?
102687 02-01 | Which former Norwegian prime minister will Norwegian police publicly identify as being investigated for suspected gross corruption by February 2026?
449104 02-01 | What will the new US strategic minerals stockpile be called by February 2026?
220862 02-02 | Which club will Manchester City face in the English League Cup final on Sunday, March 22, 2026?
243685 02-02 | What will Myanmar's new five-member panel be called when it is established by March 2026?
453736 02-02 | Who will Al Jazeera Arabic report has been killed in Libya by February 3, 2026?
492629 02-02 | Which player will the Los Angeles Clippers receive in the James Harden trade by February 5, 2026?
955662 02-02 | Which Brazilian state will authorities identify as the site of a bus crash that kills at least 16 people by February 4, 2026?
976004 02-02 | Where will forensic experts be sent in the Libyan killing probe announced by 10 February 2026?
995305 02-02 | Which city will be reported by 3 February 2026 as the location of a huge fire at a market?
336425 02-03 | Which eastern Ukrainian city will be identified as the site of a deadly market shelling by February 4, 2026?
426743 02-03 | In which town will Saif al-Islam Gaddafi be buried by February 10, 2026?
57193 02-03 | Which state will the U.S. Supreme Court let keep its new congressional map by February 2026 after rejecting a Republican lawsuit?
579252 02-03 | In which city will Amnesty International say wrestler Saleh Mohammadi has been sentenced to public execution, by February 14, 2026?
883856 02-05 | Who will Russian authorities identify as the senior military officer shot in Moscow by February 28, 2026?
198725 02-06 | To which Iranian city will Narges Mohammadi be exiled for two years under a new sentence by February 2026?
456284 02-06 | Who will take over as publisher of The Washington Post immediately after Will Lewis steps aside, by February 2026?
180958 02-07 | Which NFL team will win Super Bowl LX in February 2026?
534224 02-07 | Which country will the silver medalist in the women’s downhill alpine skiing event at the Milan-Cortina Winter Olympics represent by 8 February 2026?
318661 02-08 | Which armed group will Colombia announce it is resuming peace talks with by February 2026?
398988 02-08 | Which Lebanese group will say, by February 2026, that Israel abducted one of its officials in a raid in southern Lebanon?
538697 02-08 | Which country's military will say by February 18, 2026 that up to 8,000 troops could be ready by the end of June for a possible Gaza mission?
630740 02-08 | Which Lebanese city will be reported as the site of a residential building collapse that kills at least 15 people in early February 2026, as confirmed by February 28, 2026?
14689 02-09 | What country will be identified as the location of a fatal mass shooting at a secondary school by February 11, 2026?
312764 02-09 | Who will be named Egypt’s minister of planning in the cabinet reshuffle by 15 February 2026?
487245 02-09 | What country will be named as a source of tensions surrounding the U.S. president's late-February 2026 address?
527803 02-09 | What town will authorities identify as the site of a deadly school shooting in Canada by February 11, 2026?
745180 02-09 | Which earlier cyclone will humanitarian officials say Gezani's Madagascar landfall likely rivals by February 13, 2026?
613203 02-11 | Which club will Tractor FC play in the AFC Asian Champions League Elite playoff on April 13-14, 2026?
304287 02-12 | Which party will emerge as the main opposition in Bangladesh's new parliament after the 2026 election, based on seat results reported by February 13, 2026?
739916 02-12 | Which aircraft carrier will join the USS Abraham Lincoln carrier strike group in the Middle East by the end of March 2026?
795774 02-12 | By the end of February 2026, which French city will be identified as the place where a French far-right activist was killed, leading to a public dispute between Emmanuel Macron and Giorgia Meloni?
652747 02-13 | What toxin will five European governments say tissue samples conclusively found in Alexey Navalny's body, by February 2026?
901381 02-13 | Which two cities will be linked by the high-speed rail section that authorities investigate for burned cables during the 2026 Winter Olympics, by February 14, 2026?
190197 02-15 | Which team will Pakistan defeat to secure the last Super Eights berth in the 2026 ICC Men’s T20 World Cup by February 2026?
580089 02-15 | What district will be reported by 17 February 2026 as the site where a motorcycle bomb explodes near a police station in northwest Pakistan?
778783 02-15 | What town will be reported as the site of the drone strike on a crowded market in central Sudan that killed at least 28 people, by 16 February 2026?
207951 02-16 | Which broadcaster will confirm that it removed from its website a Winter Olympics commentary segment about Israel's bobsleigh team by February 17, 2026?
22203 02-16 | Who will be the only woman among Bangladesh's full cabinet ministers announced by February 28, 2026?
454482 02-16 | Which former ICC Men's T20 World Cup champion will fail to reach the 2026 Super Eight by February 18, 2026?
456938 02-16 | Who will Ronda Rousey be announced to fight in her MMA return by 18 February 2026?
548734 02-16 | What storm will officials say is poised to batter parts of Western Europe and worsen flooding in France by 28 February 2026?
876124 02-16 | What town will be identified by Russian authorities and major media by February 2026 as the site of a deadly explosion at a military police facility near St Petersburg?
903473 02-16 | Which Benfica player will Vinicius Jr accuse of making a racist remark during Benfica vs Real Madrid on February 17, 2026?
307616 02-17 | Who will Pakistan play in its T20 World Cup Super Eights opener on February 21, 2026?
479547 02-17 | What will be the name of the Iranian frigate reported sunk off Sri Lanka by March 4, 2026?
207254 02-18 | Which U.S. government office will be identified as the source of the reposted comments that trigger the France-US diplomatic row by the end of February 2026?
485328 02-18 | Who will deliver the Democratic response to President Donald Trump’s State of the Union address in February 2026?
943026 02-18 | What AI tool will a Dutch court bar from generating sexual imagery of real people without explicit permission by March 31, 2026?
325000 02-19 | Which armed group will the Israeli army say operated the command centre struck in Lebanon by 20 February 2026?
434350 02-19 | Who will captain South Africa's squad for its five-match men's T20 tour of New Zealand in March 2026?
26859 02-20 | Which Afghan provinces will Afghan officials say were hit in Pakistan's border air raids by February 23, 2026?
59953 02-20 | Off the coast of which Greek island will authorities report that a migrant boat capsized by 22 February 2026?
109135 02-21 | By February 28, 2026, which Ukrainian city will be reported as the site of a deadly attack in which two explosions hit police responding to an emergency at a store?
162065 02-21 | Which country will finish the 2026 Winter Olympics with 30 total medals, setting a new national Winter Olympics record, by 22 February 2026?
221278 02-21 | Which country will win the men's ice hockey gold medal at the Milano Cortina Winter Olympics by February 22, 2026?
489825 02-21 | What letters will the new alliance of six Iranian Kurdish opposition groups formed by late February 2026 be known by, by March 5, 2026?
493481 02-21 | Which country’s government will say it “strongly condemns” Pakistan’s air strikes on Afghan territory by February 27, 2026?
73075 02-21 | Which ambassador will France say it is summoning over comments on Quentin Deranque’s death by February 28, 2026?
992626 02-22 | Which team will be in first place in Group 1 of the ICC Men's T20 World Cup Super Eights by the end of February 25, 2026?
648994 02-23 | Which organization will be identified as the owner of the Thai ammunition site struck by explosions by the end of February 2026?
654360 02-23 | Which state in southeastern Brazil will report at least 23 deaths from torrential-rain flooding by February 24, 2026?
392014 02-24 | Which city will Congolese authorities say had two mass graves discovered on its outskirts by February 27, 2026?
632535 02-24 | Which team will Spain announce as its final warm-up opponent before the 2026 World Cup by March 27, 2026?
726747 02-24 | In which UK city will police report arresting a man after he allegedly enters a mosque with an axe and other weapons during evening tarawih prayers, by February 2026?
415069 02-25 | Which country will host the next round of indirect US-Iran talks on Monday, March 2, 2026?
422164 02-25 | Which university will say by February 28, 2026 that US immigration agents made misrepresentations to get into one of its student housing buildings?
489902 02-25 | In which city will the next technical talks between Iranian and US officials be held in early March 2026?
811321 02-25 | What Turkish province will be identified by 15 March 2026 as the site of a deadly collision between a migrant boat and a coastguard vessel?
812182 02-25 | Which Barcelona midfielder will be ruled out for up to six weeks with a hamstring injury by February 27, 2026?
131819 02-26 | Which city will be reported as the site of a deadly cross-border air strike on a civilian treatment facility by 19 March 2026?
412823 02-26 | Which senator will publicly say he plans to introduce legislation "ASAP" to ban prediction markets by March 2026?
55315 02-26 | Who will be elected MP for Gorton and Denton in the UK parliamentary by-election by 27 February 2026?
661416 02-26 | What Russian ship will Sweden identify as having launched a drone flight without permission near a visiting French aircraft carrier, by 28 February 2026?
915784 02-26 | What club will Newcastle United host in the UEFA Champions League round of 16 first leg on March 10, 2026?
209948 02-27 | What airspace will the airline say must safely reopen before normal flights can fully resume by March 16, 2026?
333107 02-27 | Who will South Africa play in the first ICC Men's T20 World Cup semifinal on Wednesday, 4 March 2026?
434027 02-27 | Which city in Iran will public reporting by March 2026 identify as the site of a missile strike next to a boys' school?
443306 02-27 | Where will Donald Trump say the final talks before the joint US-Israeli strikes had collapsed by the end of March 2026?
58660 02-27 | Which city will be reported as hearing multiple explosions during the strikes by February 28, 2026?
739634 02-27 | Which country will say by March 11, 2026 that it cannot participate in the 2026 FIFA World Cup?
815035 02-27 | Which Iranian city will be reported as the site of an Israeli strike on an elementary girls' school that kills at least 51 people on February 28, 2026?
13213 02-28 | Which Israeli town will report nine deaths from an Iranian missile strike by March 1, 2026?
172888 02-28 | Who will be named the third member of Iran’s temporary three-member governing council by March 2, 2026?
354370 02-28 | What missile will the United States first launch from HIMARS against Iranian targets by 31 March 2026?
468437 02-28 | Who will be identified by March 15, 2026, as the captain of Iran’s women’s football team who withdraws her asylum request in Australia?
59501 02-28 | Which Gulf country will be described by March 18, 2026, as receiving more than half of Iran’s missiles and drones fired at Gulf countries?
599755 02-28 | Which hospital will be reported as hit by airstrikes in Tehran by March 2, 2026?
635419 02-28 | Which Guardian Council member will serve on Iran’s interim leadership council in March 2026?
70713 02-28 | What country will be reported as the base location of the US troops killed in Iranian strikes by March 2026?
768218 02-28 | Whose killing will Hezbollah say its attack is avenging, by March 2, 2026?
80868 02-28 | What village will be named by March 8, 2026, in Palestinian reports as the site of an overnight settler attack near Ramallah that kills two Palestinians?
917339 02-28 | What conflict will Iranian officials cite as the reason for seeking a 2026 World Cup venue change by March 17, 2026?
232393 03-01 | Which country's fruit exporters will be reported as facing mounting losses from shipping disruption caused by the US-Israel war on Iran by March 17, 2026?
246419 03-01 | Which country will host the AWS region that Amazon says was disrupted following drone activity by March 31, 2026?
414228 03-01 | Which city, besides Islamabad, will the Taliban claim to have targeted in Pakistan's March 2026 drone attacks, by mid-March 2026?
453556 03-01 | Which country, besides Saudi Arabia, will Germany say by March 3, 2026, that it is sending chartered planes to for evacuating particularly vulnerable people?
560525 03-01 | By March 3, 2026, which country will be identified as having mistakenly shot down three US F-15E fighter jets during an Iranian attack?
971319 03-01 | What location will be reported as suffering extensive damage from Iranian missiles by March 2026 in the Gulf energy strike?
994042 03-01 | What broadcaster’s headquarters will Israel say it struck and dismantled by 3 March 2026?
297818 03-02 | What UAE emirate will be named as the site of a major oil facility where large plumes of smoke are seen after falling debris, by March 31, 2026?
584240 03-02 | Which country will Pakistan say it is ready to bring into meaningful talks with Iran to help end the war by March 30, 2026?
656436 03-02 | Which country will President Donald Trump threaten to cut off all trade with by 5 March 2026 for refusing US base access in the war with Iran?
759458 03-02 | Which Iranian city will be identified by 3 March 2026 as the location of a hospital from which babies are evacuated after strike damage?
157054 03-03 | Which U.S. senator will be identified as helping police remove an anti-war protester from an Armed Services subcommittee meeting by March 5, 2026?
16281 03-03 | What club will hand Manchester United interim boss Michael Carrick his first defeat by March 14, 2026?
68828 03-03 | Which chief executive will publicly say by March 2026 that his company is set to invest another $30bn in OpenAI and that this might be its last investment until OpenAI goes public?
768526 03-03 | Which country will Volodymyr Zelenskyy say made a specific request for Ukrainian help against drones in the Middle East, by March 2026?
803012 03-03 | Who will the US House Oversight Committee vote to subpoena over the Justice Department's handling of Jeffrey Epstein investigation records in March 2026?
937255 03-03 | Which waterway will have a cargo ship reported ablaze after being hit by an unknown projectile by March 11, 2026?
281710 03-04 | Who will Donald Trump name to replace Kristi Noem as US homeland security secretary by March 2026?
641254 03-04 | What coalition will Donald Trump announce to fight drug cartels at a South Florida summit by March 2026?
765155 03-04 | Which capital city will see homes near the US Embassy ordered evacuated during the regional conflict by 6th March 2026?
779990 03-04 | What Saudi city will authorities say was hit by a deadly military projectile by March 8, 2026?
863162 03-04 | Which Gulf country will report that an Iranian missile hit a state-run oil refinery by March 6, 2026?
869392 03-04 | Alongside Jeff Merkley, who will co-introduce, by March 2026, a US Senate bill to stop top federal officials from trading on prediction markets?
887402 03-04 | Which military will a preliminary US Department of Defense investigation identify as responsible for the deadly school strike in southern Iran by 11 March 2026?
943634 03-04 | What town southwest of Tehran will Iranian state media identify as the place where two schools were hit by missiles by March 31, 2026?
483759 03-05 | What region will Donald Trump say would have been taken over without US intervention, in remarks reported by 10 March 2026?
871156 03-05 | What U.S. state outside Oklahoma will report four tornado deaths from the central U.S. storms by March 8, 2026?
681301 03-06 | Which district in southern Lebanon will be reported as the site of a building heavily damaged in an Israeli air strike, by March 10, 2026?
758920 03-06 | Who will be sworn in as Nepal's prime minister on March 27, 2026?
893235 03-06 | Which country will the United States have previously accused of the school attack, according to international news reporting by 31 March 2026?
276362 03-07 | What Beirut coastal district will Lebanese health officials identify as the site of an Israeli air raid on a hotel room by March 8, 2026?
338215 03-07 | What embassy in Oslo will Norwegian police say was targeted in a bombing by March 2026?
578870 03-07 | Which Beirut district will an Israeli strike on an apartment that kills at least four people hit by March 8, 2026?
830793 03-07 | Which country's embassy will Norwegian police say may have been deliberately targeted in a blast in Oslo by March 8, 2026?
179817 03-08 | Who will Sri Lanka name as its new men's cricket coach by March 2026?
271330 03-08 | Which country will Australia's prime minister say will receive missiles from Australia by March 10, 2026?
304016 03-08 | Which airline will suspend its 2026 financial outlook by mid-March 2026 because of uncertainty over fuel costs linked to the Iran conflict?
309487 03-08 | Which Ukrainian region will a Ukrainian major-general say has been almost entirely retaken during a counteroffensive by March 11, 2026?
399040 03-09 | Which country will Iran try to move its 2026 World Cup group-stage matches to by March 2026?
605397 03-09 | Which Iran-backed Iraqi group will say four of its members were killed and 12 injured in air attacks in northern Iraq that it blames on the United States, by 11 March 2026?
932855 03-09 | Which team will China face in its AFC Women’s Asian Cup quarterfinal on March 14, 2026?
935869 03-09 | Who will have scored the only goal in the first leg before Liverpool’s UEFA Champions League second leg on March 18, 2026?
211346 03-10 | Which team will Royal Challengers Bengaluru host when the 2026 Indian Premier League season begins by March 2026?
425983 03-10 | Which substitute will be officially credited with two goals for Paris St Germain against Chelsea in their UEFA Champions League last-16 first leg by March 11, 2026?
559340 03-10 | Which hacking persona will publicly claim responsibility for a retaliatory cyberattack on a global medical-device company by March 11, 2026?
807049 03-10 | Who will score the first hat-trick of his career in the UEFA Champions League round-of-16 first leg between Real Madrid and Manchester City by March 2026?
828811 03-10 | Which organisation will Israeli media say was using the apartment hit in central Beirut by March 11, 2026?
350082 03-11 | Who will authorities identify as the assailant in the Michigan synagogue attack by March 2026?
48811 03-11 | Which synagogue will authorities identify as being involved in a reported active shooter situation in the Detroit area by March 12, 2026?
742975 03-11 | What aircraft model will U.S. Central Command identify as lost in western Iraq by March 2026?
922567 03-11 | Which university in Virginia will be the site, by March 31, 2026, of a shooting that authorities investigate as an act of terror?
169286 03-12 | In which country will US officials say a base is located where an Iranian missile strike damaged five KC-135 refuelling aircraft by March 19, 2026?
214539 03-12 | What Iranian island will Donald Trump say US forces bombed military installations on by March 14, 2026?
679215 03-12 | What ship will be named as carrying about 3,500 US military personnel to the Middle East by March 31, 2026?
764041 03-12 | Which southern Lebanese village will be identified by March 14, 2026, as the site of an Israeli strike on a health centre that kills 12 medical workers?
857856 03-12 | Which team will remain alive through a Women’s World Cup qualifying playoff after losing the AFC Women’s Asian Cup quarterfinal on March 13, 2026?
503104 03-13 | Which national team will Spain face in a World Cup 2026 friendly on 27 March 2026?
657160 03-13 | Which country will Iran's foreign minister say was used as a launch area for U.S. attacks by March 15, 2026?
196640 03-14 | Which news network will be reported in March 2026 as the one whose first on-air face has died at age 73?
369030 03-14 | Which constructor's two drivers will both fail to start the Formula One Chinese Grand Prix on 15 March 2026?
581686 03-14 | By March 15, 2026, which NGO will be reported as carrying out three Mediterranean rescue operations and taking 123 survivors aboard?
833672 03-14 | Which country will state by March 16, 2026 that it will not participate, “not even in any effort to keep the Strait of Hormuz open by military means”?
506444 03-15 | Which team will beat South Korea to reach the 2026 AFC Women’s Asian Cup final by March 18, 2026?
529060 03-15 | What missile type will Ukrainian intelligence say it destroyed before launch during Russia’s record 24-hour air attack in late March 2026, as confirmed by March 31, 2026?
167989 03-16 | Which club will Arsenal face in the UEFA Champions League quarterfinals, if Arsenal advance, by March 17, 2026?
219636 03-16 | What refinery will reports link to the March 17 fatal explosion after oily water overflowed onto a road on Mexico’s Gulf coast, by March 31, 2026?
274734 03-16 | What will the U.S. bill proposed by Senator Chris Murphy and Representative Greg Casar to ban certain sensitive-event prediction-market bets be called by March 2026?
293527 03-16 | Which U.S. agency will be named by March 31, 2026 as the one a former director says he quit over opposition to war?
573851 03-16 | Which country will say it will appeal the 2025 AFCON title ruling to the Court of Arbitration for Sport by March 2026?
